=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.07.26 22:04:39 =~=~=~=~=~=~=~=~=~=~=~=
Tstart,A0,A1,Tstop
592484,425,158,592712
594440,425,158,594664
596392,425,158,596616
598348,425,158,598576
600304,425,158,600528
602256,425,158,602480
604212,425,158,604440
606168,425,158,606392
608124,425,158,608352
610080,424,158,610312
612032,425,158,612256
613988,424,158,614216
615944,425,158,616168
617900,425,158,618128
619852,425,158,620080
621808,424,158,622032
623764,425,158,623992
625720,424,158,625944
627672,425,158,627896
629628,424,158,629856
631584,425,158,631816
633540,424,158,633768
635492,425,158,635720
637448,424,158,637672
639404,425,158,639632
641360,424,158,641584
643312,425,158,643536
645268,424,158,645496
647224,425,158,647448
649180,425,158,649408
651132,424,158,651360
653088,425,158,653320
655044,424,158,655272
657000,425,159,657224
658952,425,158,659176
660908,425,158,661136
662864,424,158,663088
664820,425,158,665048
666772,424,158,667000
668728,425,158,668952
670684,425,158,670912
672640,425,158,672864
674592,424,159,674824
676548,425,158,676776
678504,424,158,678728
680460,425,158,680688
682412,425,158,682640
684368,425,159,684592
686324,424,158,686552
688276,425,158,688504
690232,424,158,690456
692188,425,158,692416
694144,424,158,694368
696100,425,158,696328
698052,425,158,698280
700008,425,158,700232
701964,425,158,702192
703920,425,158,704144
705872,425,158,706096
707828,425,158,708056
709784,424,158,710008
711736,425,158,711960
713692,424,158,713920
715648,425,158,715872
717604,425,158,717832
719560,425,158,719784
721512,425,158,721736
723468,425,158,723696
725424,424,158,725648
727376,425,159,727600
729332,425,158,729560
731288,425,158,731512
733244,425,158,733472
735200,425,158,735424
737152,425,158,737376
739108,425,158,739336
741064,425,158,741288
743020,425,157,743248
744972,425,159,745200
746928,425,158,747152
748884,425,159,749112
750840,425,158,751064
752792,425,158,753016
754748,425,158,754976
756704,425,158,756928
758660,425,158,758888
760612,425,158,760840
762568,425,158,762792
764524,425,158,764752
766480,425,158,766704
768432,425,158,768656
770388,425,158,770616
772344,425,158,772568
774300,425,158,774528
776252,425,158,776480
778208,425,158,778432
780164,425,158,780392
782120,425,158,782344
784072,425,158,784296
786028,425,158,786256
787984,425,158,788208
789940,425,158,790168
791892,425,158,792120
793848,425,158,794072
795804,425,159,796032
797760,425,158,797984
799712,425,159,799936
801668,425,158,801896
803624,425,158,803848
805580,425,158,805808
807532,425,158,807760
809488,425,158,809712
811444,425,158,811672
813400,425,158,813624
815352,425,158,815576
817308,425,158,817536
819264,425,159,819488
821220,425,158,821448
823172,425,158,823400
825128,425,158,825352
827084,425,158,827312
829040,425,158,829264
830992,425,158,831216
832948,425,159,833176
834904,425,158,835128
836860,425,159,837088
838812,425,158,839040
840768,425,158,840992
842724,425,158,842952
844680,425,158,844904
846632,425,158,846856
848588,425,159,848816
850544,425,158,850768
852496,425,158,852720
854452,425,158,854680
856408,425,158,856632
858364,425,158,858592
860320,425,158,860544
862272,425,158,862496
864228,425,158,864456
866184,425,158,866408
868136,425,158,868360
870092,425,158,870320
872048,425,158,872272
874004,425,158,874232
875960,425,158,876184
877912,425,158,878136
879868,425,158,880096
881824,425,158,882048
883776,425,158,884000
885732,425,158,885960
887688,425,159,887912
889644,425,158,889872
891600,425,158,891824
893552,425,158,893776
895508,425,159,895736
897464,425,158,897688
899420,425,158,899648
901372,425,158,901600
903328,425,158,903552
905284,425,158,905512
907240,425,158,907464
909192,425,158,909416
911148,425,158,911376
913104,425,158,913328
915060,425,158,915288
917012,425,159,917240
918968,425,158,919192
920924,425,159,921152
922876,425,158,923104
924832,425,159,925056
926788,425,158,927016
928744,425,158,928968
930700,425,158,930944
932652,425,158,932880
934608,425,158,934832
936564,425,158,936792
938520,425,158,938744
940472,425,159,940696
942428,425,158,942656
944384,425,158,944608
946336,425,158,946560
948292,425,158,948520
950248,425,158,950472
952204,426,158,952448
954160,425,158,954384
956112,425,158,956336
958068,425,158,958296
960024,425,158,960248
961980,425,158,962208
963932,425,158,964160
965888,425,158,966112
967844,426,158,968072
969796,426,158,970024
971752,426,158,971976
973708,425,158,973944
975664,425,158,975888
977616,425,158,977840
979572,425,158,979800
981528,425,158,981752
983484,426,158,983712
985436,425,158,985664
987392,426,159,987616
989348,425,158,989576
991304,426,158,991528
993260,425,158,993488
995212,426,158,995448
997168,425,158,997392
999124,426,158,999352
1001076,425,158,1001304
1003204,426,158,1003432
1005328,425,158,1005552
1007452,426,158,1007680
1009580,425,158,1009808
1011704,426,158,1011928
1013828,425,158,1014056
1015952,426,158,1016176
1018076,426,158,1018304
1020204,426,158,1020432
1022328,426,158,1022552
1024452,426,158,1024680
1026580,426,158,1026808
1028704,426,158,1028928
1030828,426,158,1031056
1032952,426,159,1033176
1035080,426,158,1035304
1037204,426,158,1037432
1039328,426,158,1039552
1041452,426,158,1041680
1043580,427,159,1043808
1045704,426,158,1045928
1047828,427,158,1048056
1049952,426,158,1050176
1052080,427,158,1052304
1054204,426,158,1054432
1056328,427,159,1056552
1058452,426,158,1058680
1060580,427,158,1060808
1062704,426,158,1062928
1064828,427,159,1065056
1066952,427,158,1067176
1069080,427,158,1069304
1071204,427,159,1071432
1073328,427,158,1073552
1075452,427,158,1075680
1077580,427,158,1077808
1079704,427,158,1079928
1081828,427,158,1082056
1083952,427,158,1084176
1086080,427,158,1086304
1088204,427,158,1088432
1090328,427,158,1090552
1092452,427,158,1092680
1094580,427,158,1094808
1096708,427,158,1096936
1098828,427,158,1099056
1100952,427,159,1101176
1103080,428,158,1103304
1105204,427,158,1105432
1107328,427,158,1107552
1109452,427,158,1109680
1111580,427,158,1111808
1113704,427,158,1113928
1115828,427,159,1116056
1117952,427,158,1118176
1120080,428,158,1120304
1122204,427,158,1122432
1124328,428,158,1124552
1126452,427,158,1126680
1128580,428,158,1128808
1130704,427,158,1130928
1132828,428,159,1133056
1134952,427,158,1135176
1137080,427,158,1137304
1139204,428,158,1139432
1141328,427,158,1141552
1143452,428,159,1143680
1145580,427,158,1145808
1147704,428,158,1147928
1149828,427,159,1150056
1151952,428,158,1152176
1154080,427,158,1154304
1156204,428,158,1156432
1158328,427,158,1158552
1160452,428,158,1160680
1162580,427,158,1162808
1164704,428,159,1164928
1166828,427,158,1167056
1168952,428,158,1169176
1171080,428,159,1171304
1173204,427,158,1173432
1175328,428,159,1175560
1177452,427,158,1177680
1179576,428,158,1179800
1181708,427,158,1181936
1183828,428,159,1184056
1185952,427,158,1186176
1188080,428,158,1188304
1190204,427,158,1190432
1192328,428,158,1192552
1194452,427,158,1194680
1196580,428,159,1196808
1198704,427,158,1198928
1200828,428,159,1201056
1202952,427,158,1203176
1205076,427,158,1205304
1207204,428,159,1207432
1209328,427,158,1209552
1211452,428,158,1211680
1213580,427,158,1213808
1215704,428,159,1215928
1217828,427,158,1218056
1219952,428,159,1220176
1222080,427,158,1222304
1224204,428,158,1224432
1226328,427,158,1226552
1228452,428,158,1228680
1230580,427,158,1230808
1232704,428,158,1232928
1234828,427,158,1235064
1236952,428,158,1237176
1239080,428,158,1239304
1241204,427,158,1241432
1243328,428,158,1243552
1245452,427,158,1245680
1247580,428,159,1247808
1249704,427,158,1249928
1251828,428,158,1252056
1253952,427,158,1254176
1256080,428,159,1256304
1258204,427,158,1258432
1260328,428,158,1260552
1262452,427,158,1262680
1264580,428,158,1264808
1266708,427,158,1266936
1268828,428,159,1269056
1270952,427,158,1271176
1273080,427,158,1273304
1275204,428,158,1275432
1277328,427,158,1277552
1279452,428,158,1279680
1281580,427,158,1281808
1283704,428,158,1283928
1285828,427,158,1286056
1287952,428,158,1288176
1290080,427,158,1290304
1292204,428,158,1292432
1294328,427,158,1294552
1296452,427,159,1296680
1298580,427,158,1298808
1300704,428,158,1300928
1302828,427,158,1303056
1304952,428,158,1305176
1307080,428,159,1307304
1309204,427,158,1309432
